close,high,low,open,timestamp,volume
29054.58,29162.36,29054.58,29162.36,1609524000,7.57896954
29138.12,29138.12,29054.57,29054.57,1609524060,38.37395626
29212.29,29212.29,29142.59,29142.59,1609524120,0.87076910
29319.42,29319.42,29211.96,29211.96,1609524180,26.77661963
29303.37,29311.97,29262.9,29305.97,1609524240,7.23789723
29291.4,29327.54,29288.02,29327.54,1609524300,4.55261116
29283.81,29295.26,29266.72,29282.35,1609524360,5.87802314
29303.61,29303.79,29282.58,29283.81,1609524420,6.02189489
29300.06,29317.56,29278.24,29303.61,1609524480,7.26173062
29290.08,29301.83,29273.44,29293.69,1609524540,2.73756166
29294.18,29296.12,29282.8,29282.8,1609524600,2.16270825
29300.96,29316.45,29291.92,29291.92,1609524660,8.31443880
29294.87,29311.42,29275.57,29305.23,1609524720,17.65805813
29310.84,29310.84,29275.48,29292.49,1609524780,7.07760443
29287.94,29296.24,29278.07,29296.24,1609524840,4.44368955
29296.93,29320.1,29276.98,29296.81,1609524900,3.73880348
29283.67,29296.93,29276.98,29296.93,1609524960,5.08234832
29295.47,29297.83,29272.7,29278.19,1609525020,1.60446707
29277.93,29282.86,29274.35,29282.12,1609525080,5.28245465
29280.44,29292.79,29265.99,29292.79,1609525140,5.03718766
29246.29,29275.79,29242.17,29274.19,1609525200,7.21292961
29218.4,29248.09,29218.4,29242.18,1609525260,3.69704352
29195.91,29240.47,29195.91,29216.52,1609525320,2.95355638
29191.34,29208.86,29182.4,29191.74,1609525380,8.46918432
29164.62,29195.23,29136.86,29195.23,1609525440,4.08749279
29169.13,29185.76,29132.7,29164.62,1609525500,2.38559063
29104.43,29162.05,29089.53,29162.04,1609525560,12.41907160
29111.05,29111.05,29088.46,29106.77,1609525620,4.41915076
29135.65,29138.55,29096.93,29111.05,1609525680,8.64653353
29092.51,29135.26,29086.9,29133.5,1609525740,11.01659022
29052.04,29099.65,29031.9,29099.65,1609525800,18.56607985
29119.35,29119.35,29061.41,29063.29,1609525860,2.20480133
29117.77,29133.56,29104.41,29133.56,1609525920,3.53870140
29137.74,29154.34,29099.4,29099.4,1609525980,4.82810951
29132.08,29170.92,29127.2,29137.75,1609526040,2.83414314
29116.28,29153.22,29116.28,29146.99,1609526100,6.40600308
29092.74,29131,29092.74,29118.5,1609526160,3.10188503
29123.25,29129.51,29100.37,29114.98,1609526220,2.25678260
29105.51,29123.25,29098.59,29123.24,1609526280,6.72485040
29030.54,29105.51,29030.54,29105.51,1609526340,7.76529688
29057.52,29086.9,29024.48,29024.48,1609526400,5.25047787
29032.95,29067.05,29000,29060.8,1609526460,20.81044620
28951.75,29024.78,28919.17,29024.78,1609526520,24.50284906
28965.18,28980.6,28951.85,28951.85,1609526580,4.95411953
28952,28978.53,28952,28965.18,1609526640,8.82557019
28826.4,28960.52,28720,28952,1609526700,97.69131730
28789.41,28866.3,28778.34,28802.99,1609526760,16.30374366
28855.63,28875.25,28769.28,28793.3,1609526820,9.93946808
28946.25,28947.7,28846.91,28855.63,1609526880,13.09560945
28982.44,28982.44,28930.46,28947.7,1609526940,8.92374524
29018.95,29050.39,28951.93,28982.44,1609527000,20.00635703
29043.3,29052.03,28999.43,29050.39,1609527060,15.63807281
29086.9,29086.9,29030,29043.3,1609527120,21.72527292
29114.7,29156.75,29083.93,29083.93,1609527180,22.82465598
29077.07,29133.13,29077.07,29119.7,1609527240,3.84325798
29078.07,29110.27,29052.89,29100.58,1609527300,8.35938753
29137.06,29156.75,29097.9,29105.36,1609527360,7.17045704
