close,high,low,open,timestamp,volume,date
29006.31,29022.01,28999.14,28999.63,1609459200,0.86157958,1970-01-01 00:00:01.609459200
29083.47,29086.9,29007.31,29007.31,1609459260,14.56195084,1970-01-01 00:00:01.609459260
29035.89,29073.02,29028.14,29069.8,1609459320,3.03030144,1970-01-01 00:00:01.609459320
29048.13,29069.39,29019,29037.68,1609459380,2.18962055,1970-01-01 00:00:01.609459380
29045.19,29057.73,29035.61,29048.13,1609459440,1.44653760,1970-01-01 00:00:01.609459440
28999.5,29023.38,28982.33,29021.86,1609459500,1.06235967,1970-01-01 00:00:01.609459500
28997.36,29025.68,28996.71,28996.71,1609459560,1.86322186,1970-01-01 00:00:01.609459560
28990.35,29012.16,28983.04,29000.96,1609459620,1.40150279,1970-01-01 00:00:01.609459620
28941.55,28993.53,28938.21,28993.53,1609459680,2.27032461,1970-01-01 00:00:01.609459680
28937.66,28987.85,28910.15,28945.2,1609459740,2.37217921,1970-01-01 00:00:01.609459740
28925.13,28945.01,28903.28,28932.99,1609459800,1.46820641,1970-01-01 00:00:01.609459800
28888.34,28936.19,28843.74,28905.23,1609459860,9.89429008,1970-01-01 00:00:01.609459860
28899.24,28931.49,28893.16,28915.88,1609459920,1.58386373,1970-01-01 00:00:01.609459920
28811.01,28897.8,28800,28897.8,1609459980,14.01723668,1970-01-01 00:00:01.609459980
28834.74,28839.99,28774.64,28785.98,1609460040,13.46141688,1970-01-01 00:00:01.609460040
28825.45,28843.06,28800.92,28812.07,1609460100,1.43738320,1970-01-01 00:00:01.609460100
28893.34,28893.34,28844.42,28849.06,1609460160,1.15812201,1970-01-01 00:00:01.609460160
28888.52,28893.34,28858.67,28872.67,1609460220,0.42930128,1970-01-01 00:00:01.609460220
28898.38,28907.96,28865.5,28893.34,1609460280,5.54608190,1970-01-01 00:00:01.609460280
28916.52,28916.52,28879.93,28902.03,1609460340,1.94684880,1970-01-01 00:00:01.609460340
28827.83,28893.72,28810.07,28893.72,1609460400,1.87169104,1970-01-01 00:00:01.609460400
28852.31,28878.46,28802.97,28819.24,1609460460,7.63363878,1970-01-01 00:00:01.609460460
28889.32,28889.35,28854.12,28854.12,1609460520,1.71106435,1970-01-01 00:00:01.609460520
28919.39,28919.39,28867.26,28878.3,1609460580,2.27313407,1970-01-01 00:00:01.609460580
28907.28,28909.53,28892.38,28893.82,1609460640,2.61633566,1970-01-01 00:00:01.609460640
28932.43,28932.43,28907.28,28907.28,1609460700,1.29393198,1970-01-01 00:00:01.609460700
28920.26,28947.7,28898.35,28936.99,1609460760,23.47127269,1970-01-01 00:00:01.609460760
28914.43,28933.28,28900,28908.8,1609460820,6.59143606,1970-01-01 00:00:01.609460820
28900.07,28922.59,28895.99,28901.86,1609460880,11.12985453,1970-01-01 00:00:01.609460880
28910.87,28913.01,28878.41,28896.03,1609460940,5.78596564,1970-01-01 00:00:01.609460940
28950,28950,28900.11,28900.11,1609461000,12.05414799,1970-01-01 00:00:01.609461000
28931.21,28969.07,28931.21,28950,1609461060,17.39085988,1970-01-01 00:00:01.609461060
28947.96,28955.21,28929.73,28938.52,1609461120,6.15567111,1970-01-01 00:00:01.609461120
28974.79,28974.79,28934.97,28947.96,1609461180,2.49642887,1970-01-01 00:00:01.609461180
28952.07,28978.54,28937.7,28966.87,1609461240,10.68851586,1970-01-01 00:00:01.609461240
28999.77,29005.56,28952.46,28952.46,1609461300,17.53539899,1970-01-01 00:00:01.609461300
29001.18,29001.18,28968.1,28999.77,1609461360,17.97468844,1970-01-01 00:00:01.609461360
28983.72,29001.18,28981.12,28984.81,1609461420,16.17785554,1970-01-01 00:00:01.609461420
28971.13,28996.63,28971.13,28983.72,1609461480,13.92509724,1970-01-01 00:00:01.609461480
28974.45,28974.45,28961.83,28974.45,1609461540,4.29816758,1970-01-01 00:00:01.609461540
28996.99,28996.99,28967.25,28967.25,1609461600,4.28644870,1970-01-01 00:00:01.609461600
28986.61,29007.35,28986.61,28996.51,1609461660,22.11847478,1970-01-01 00:00:01.609461660
28991.31,29003.14,28977.67,29003.14,1609461720,6.57325765,1970-01-01 00:00:01.609461720
28997.26,29000.61,28990.42,28992.16,1609461780,1.42018380,1970-01-01 00:00:01.609461780
29017.21,29017.21,28997.26,28997.26,1609461840,1.54483499,1970-01-01 00:00:01.609461840
28978.01,29017.21,28971.91,29005.98,1609461900,15.53999490,1970-01-01 00:00:01.609461900
29004.36,29017.21,28978.02,28992.36,1609461960,4.81764318,1970-01-01 00:00:01.609461960
29022.29,29050,29002.11,29004.36,1609462020,23.70185610,1970-01-01 00:00:01.609462020
29011.08,29047.09,29009.73,29012.33,1609462080,5.00057495,1970-01-01 00:00:01.609462080
29023.58,29029.47,29012.53,29012.53,1609462140,1.36741137,1970-01-01 00:00:01.609462140
29023.71,29039.19,29023.71,29032.19,1609462200,5.46567145,1970-01-01 00:00:01.609462200
29013.59,29030.48,29010.6,29028.93,1609462260,1.22957967,1970-01-01 00:00:01.609462260
29049.01,29049.01,29013.59,29013.59,1609462320,1.85024719,1970-01-01 00:00:01.609462320
29049.6,29063.15,29028.62,29049.01,1609462380,13.55045153,1970-01-01 00:00:01.609462380
29033.24,29041.11,29018.54,29041.11,1609462440,4.00726841,1970-01-01 00:00:01.609462440
29026.33,29048.28,29019.62,29030.49,1609462500,2.72147918,1970-01-01 00:00:01.609462500
29039.46,29048.54,29014.76,29029.22,1609462560,1.65992518,1970-01-01 00:00:01.609462560
29071.96,29099,29049.88,29067.04,1609462620,8.17561949,1970-01-01 00:00:01.609462620
29088.01,29097.57,29076.2,29097.47,1609462680,3.57837760,1970-01-01 00:00:01.609462680
29056.94,29079.93,29053.18,29079.93,1609462740,4.27798978,1970-01-01 00:00:01.609462740
29047.01,29076.68,29047.01,29070.66,1609462800,6.82027096,1970-01-01 00:00:01.609462800
29030.04,29048.07,29010.36,29047.01,1609462860,7.01732391,1970-01-01 00:00:01.609462860
29068.95,29068.97,29039.3,29039.3,1609462920,1.31408146,1970-01-01 00:00:01.609462920
29053.89,29068.93,29052.25,29068.93,1609462980,2.15166797,1970-01-01 00:00:01.609462980
29117.04,29120,29053.89,29058.75,1609463040,13.24598274,1970-01-01 00:00:01.609463040
